ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
240,0.9963189134,0.9962903778,-2.85355553018007E-05,0,0,0,0,0,0,0,
241,0.9939504623,0.9937221778,-0.0002282844,0,0,0,0,0,0,0,
242,0.9820226002,0.9814518891,-0.0005707111,0,0,0,0,0,0,0,
243,0.9858749001,0.985304189,-0.0005707111,0,0,0,0,0,0,0,
247,0.985817829,0.9854754024,-0.0003424267,0,0,0,0,0,0,0,
248,0.9797112202,0.9793117224,-0.0003994978,0,0,0,0,0,0,0,
249,0.9910683712,0.9907544801,-0.0003138911,0,0,0,0,0,0,0,
250,0.9934653578,0.9927805045,-0.0006848533,0,0,0,0,0,0,0,
251,0.9966042689,0.9962333067,-0.0003709622,0,0,0,0,0,0,0,
252,0.9750599247,0.9743465358,-0.0007133889,0,0,0,0,0,0,0,
253,0.9950348134,0.9943784956,-0.0006563178,0,0,0,0,0,0,0,
254,0.992751969,0.9921241867,-0.0006277822,0,0,0,0,0,0,0,
255,0.9934082867,0.9931800023,-0.0002282844,0,0,0,0,0,0,0,
257,0.9968325534,0.9965471978,-0.0002853556,0,0,0,0,0,0,0,
258,0.9637027737,0.9634459537,-0.00025682,0,0,0,0,0,0,0,
259,0.99512042,0.9948636,-0.00025682,0,0,0,0,0,0,0,
260,0.9839059468,0.9833067001,-0.0005992467,0,0,0,0,0,0,0,
261,0.9817943157,0.9811950691,-0.0005992467,0,0,0,0,0,0,0,
262,0.9945782445,0.9942928889,-0.0002853556,0,0,0,0,0,0,0,
263,0.9886713845,0.988642849,-2.85355553019118E-05,0,0,0,0,0,0,0,
266,0.962846707,0.9620191759,-0.0008275311,0,0,0,0,0,0,0,
267,0.9766293802,0.9763725602,-0.00025682,0,0,0,0,0,0,0,
269,0.99640452,0.9962047711,-0.0001997489,0,0,0,0,0,0,0,
270,0.9964901267,0.9961762356,-0.0003138911,0,0,0,0,0,0,0,
271,0.9963474489,0.9960906289,-0.00025682,0,0,0,0,0,0,0,
272,0.9915820112,0.9913537267,-0.0002282844,0,0,0,0,0,0,0,
273,0.9951774912,0.9947209223,-0.0004565689,0,0,0,0,0,0,0,
274,0.9933512156,0.9928946467,-0.0004565689,0,0,0,0,0,0,0,
277,0.9924095423,0.992238329,-0.0001712133,0,0,0,0,0,0,0,
278,0.9647585892,0.9644446981,-0.0003138911,0,0,0,0,0,0,0,
279,0.9941787467,0.9934368223,-0.0007419244,0,0,0,0,0,0,0,
